ID,Score
8000,3.0
8001,3.0
8002,1.0
8003,1.0
8004,2.0
8005,2.0
8006,2.0
8007,2.0
8008,2.0
8009,2.0
8010,2.0
8011,2.0
8012,2.0
8013,2.0
8014,2.0
8015,2.0
8016,2.0
8017,2.0
8018,1.0
8019,1.0
8020,2.0
8021,2.0
8022,2.0
8023,2.0
8024,3.0
8025,4.0
8026,3.0
8027,3.0
8028,1.0
8029,1.0
8030,1.0
8031,1.0
8032,1.0
8033,1.0
8034,1.0
8035,1.0
8036,1.0
8037,1.0
8038,1.0
8039,1.0
8040,2.0
8041,2.0
8042,2.0
8043,2.0
8044,3.0
8045,3.0
8046,3.0
8047,3.0
8048,3.0
8049,3.0
8050,3.0
8051,3.0
8052,2.0
8053,2.0
8054,2.0
8055,2.0
8056,2.0
8057,2.0
8058,2.0
8059,2.0
8060,1.0
8061,1.0
8062,2.0
8063,2.0
8064,2.0
8065,2.0
8066,1.0
8067,1.0
8068,2.0
8069,2.0
8070,2.0
8071,2.0
8072,4.0
8073,4.0
8074,3.0
8075,3.0
8076,1.0
8077,1.0
8078,1.0
8079,1.0
8080,1.0
8081,1.0
8082,1.0
8083,1.0
8084,1.0
8085,1.0
8086,1.0
8087,1.0
8088,1.0
8089,1.0
8090,1.0
8091,1.0
8092,3.0
8093,3.0
8094,3.0
8095,3.0
8096,3.0
8097,3.0
8098,1.0
8099,1.0
8100,2.0
8101,2.0
8102,2.0
8103,2.0
8104,3.0
8105,2.0
8106,3.0
8107,3.0
8108,1.0
8109,1.0
8110,2.0
8111,2.0
8112,2.0
8113,2.0
8114,1.0
8115,1.0
8116,2.0
8117,2.0
8118,2.0
8119,2.0
8120,3.0
8121,3.0
8122,3.0
8123,3.0
8124,1.0
8125,1.0
8126,1.0
8127,1.0
8128,1.0
8129,1.0
8130,1.0
8131,1.0
8132,1.0
8133,1.0
8134,1.0
8135,1.0
8136,1.0
8137,1.0
8138,1.0
8139,1.0
8140,3.0
8141,3.0
8142,3.0
8143,3.0
8144,3.0
8145,3.0
8146,1.0
8147,1.0
8148,2.0
8149,2.0
8150,2.0
8151,2.0
8152,3.0
8153,2.0
8154,3.0
8155,3.0
8156,2.0
8157,2.0
8158,2.0
8159,2.0
8160,2.0
8161,2.0
8162,1.0
8163,1.0
8164,2.0
8165,2.0
8166,2.0
8167,2.0
8168,2.0
8169,3.0
8170,3.0
8171,3.0
8172,1.0
8173,1.0
8174,1.0
8175,1.0
8176,1.0
8177,1.0
8178,2.0
8179,2.0
8180,1.0
8181,1.0
8182,1.0
8183,1.0
8184,2.0
8185,2.0
8186,2.0
8187,2.0
8188,3.0
8189,3.0
8190,3.0
8191,3.0
8192,3.0
8193,3.0
8194,3.0
8195,3.0
8196,2.0
8197,2.0
8198,2.0
8199,2.0
8200,2.0
8201,2.0
8202,3.0
8203,3.0
8204,2.0
8205,2.0
8206,2.0
8207,2.0
8208,2.0
8209,2.0
8210,1.0
8211,1.0
8212,2.0
8213,2.0
8214,2.0
8215,2.0
8216,2.0
8217,3.0
8218,3.0
8219,3.0
8220,1.0
8221,1.0
8222,1.0
8223,1.0
8224,1.0
8225,1.0
8226,1.0
8227,1.0
8228,1.0
8229,1.0
8230,1.0
8231,1.0
8232,2.0
8233,2.0
8234,2.0
8235,2.0
8236,3.0
8237,3.0
8238,3.0
8239,3.0
8240,3.0
8241,3.0
8242,1.0
8243,1.0
8244,2.0
8245,2.0
8246,2.0
8247,2.0
8248,2.0
8249,2.0
8250,2.0
8251,2.0
8252,2.0
8253,2.0
8254,2.0
8255,2.0
8256,2.0
8257,2.0
8258,1.0
8259,1.0
8260,2.0
8261,2.0
8262,2.0
8263,2.0
8264,2.0
8265,2.0
8266,1.0
8267,1.0
8268,1.0
8269,1.0
8270,1.0
8271,1.0
8272,1.0
8273,1.0
8274,1.0
8275,1.0
8276,1.0
8277,1.0
8278,1.0
8279,1.0
8280,2.0
8281,2.0
8282,2.0
8283,2.0
8284,2.0
8285,2.0
8286,3.0
8287,3.0
8288,2.0
8289,2.0
8290,1.0
8291,1.0
8292,2.0
8293,2.0
8294,2.0
8295,2.0
8296,2.0
8297,2.0
8298,2.0
8299,2.0
8300,2.0
8301,2.0
8302,2.0
8303,2.0
8304,2.0
8305,2.0
8306,1.0
8307,1.0
8308,2.0
8309,2.0
8310,2.0
8311,2.0
8312,2.0
8313,2.0
8314,1.0
8315,1.0
8316,1.0
8317,1.0
8318,1.0
8319,1.0
8320,1.0
8321,1.0
8322,1.0
8323,1.0
8324,1.0
8325,1.0
8326,1.0
8327,1.0
8328,1.0
8329,1.0
8330,2.0
8331,2.0
8332,2.0
8333,2.0
8334,3.0
8335,3.0
8336,2.0
8337,2.0
8338,1.0
8339,1.0
8340,2.0
8341,2.0
8342,2.0
8343,2.0
8344,2.0
8345,2.0
8346,2.0
8347,2.0
8348,2.0
8349,2.0
8350,2.0
8351,2.0
8352,2.0
8353,2.0
8354,1.0
8355,1.0
8356,2.0
8357,2.0
8358,2.0
8359,2.0
8360,2.0
8361,2.0
8362,3.0
8363,3.0
8364,1.0
8365,1.0
8366,1.0
8367,1.0
8368,1.0
8369,1.0
8370,1.0
8371,1.0
8372,1.0
8373,1.0
8374,1.0
8375,1.0
8376,2.0
8377,2.0
8378,2.0
8379,2.0
8380,3.0
8381,3.0
8382,3.0
8383,3.0
8384,3.0
8385,3.0
8386,3.0
8387,3.0
8388,2.0
8389,2.0
8390,2.0
8391,2.0
8392,3.0
8393,3.0
8394,3.0
8395,3.0
8396,1.0
8397,3.0
8398,2.0
8399,2.0
8400,2.0
8401,2.0
8402,1.0
8403,1.0
8404,2.0
8405,2.0
8406,2.0
8407,2.0
8408,3.0
8409,3.0
8410,3.0
8411,3.0
8412,1.0
8413,1.0
8414,1.0
8415,1.0
8416,1.0
8417,1.0
8418,1.0
8419,1.0
8420,1.0
